latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
39.64332,76.00385,325.99,1.32,1.14,2024-07-06,0525,T,64,6.1NRT,306.43,12.88,D
39.4122,76.01646,325.61,1.34,1.15,2024-07-06,0525,T,58,6.1NRT,304.13,15.84,D
39.39949,76.0284,322.89,1.34,1.15,2024-07-06,0525,T,47,6.1NRT,303.39,10.25,D
39.12105,76.24695,323.12,1.39,1.17,2024-07-06,0525,T,51,6.1NRT,304.56,14.21,D
39.11488,75.88538,326.8,1.34,1.15,2024-07-06,0525,T,58,6.1NRT,306.11,14.34,D
14.11451,100.59711,317.54,2.34,1.48,2024-07-06,0654,A,50,6.1NRT,292.1,23.91,D
24.14692,99.95866,310.06,1.65,1.26,2024-07-06,0657,A,29,6.1NRT,291.97,9.18,D
25.59939,101.66383,318.48,1.22,1.1,2024-07-06,0657,A,68,6.1NRT,296.97,12.4,D
25.60266,100.31069,319.15,1.46,1.2,2024-07-06,0657,A,36,6.1NRT,296.01,15.1,D
29.91725,72.39961,326.06,1.95,1.36,2024-07-06,0837,A,73,6.1NRT,296.61,26.78,D
30.085,72.14879,318.78,2.01,1.38,2024-07-06,0837,A,15,6.1NRT,291.84,14.43,D
27.597,62.69617,334.62,2.51,1.52,2024-07-06,1013,A,68,6.1NRT,310.5,47.9,D
27.59468,62.71393,334.39,2.52,1.53,2024-07-06,1013,A,68,6.1NRT,311.07,48.71,D
29.98648,55.85358,338.78,1.06,1.03,2024-07-06,1015,A,78,6.1NRT,319.73,18.82,D
39.81128,98.2896,301.08,1.03,1.01,2024-07-06,1450,T,37,6.1NRT,290.2,4.51,N
38.97243,66.82628,304.8,1.58,1.24,2024-07-06,1628,T,62,6.1NRT,292.17,10.89,N
39.71959,67.13624,304.98,1.46,1.2,2024-07-06,1628,T,62,6.1NRT,292.52,9.74,N
39.72415,67.12926,303.68,1.46,1.2,2024-07-06,1628,T,54,6.1NRT,292.83,8.53,N
22.04667,83.73929,305.24,2.19,1.44,2024-07-06,1624,T,63,6.1NRT,286.75,17,N
22.04461,83.71836,304.85,2.19,1.43,2024-07-06,1624,T,56,6.1NRT,286.49,16.49,N
22.67062,56.2468,308.94,1.41,1.18,2024-07-06,1804,T,53,6.1NRT,296.35,7.59,N
22.05041,83.73621,312.77,1.09,1.04,2024-07-06,2042,A,86,6.1NRT,289.21,10.79,N
22.04121,83.73481,308.25,1.09,1.04,2024-07-06,2042,A,74,6.1NRT,288.77,7.49,N
20.80035,85.25443,301.57,1,1,2024-07-06,2044,A,36,6.1NRT,281.82,3.21,N
22.34183,56.46846,311.52,1.52,1.22,2024-07-06,2222,A,81,6.1NRT,293.71,14.26,N
29.99703,55.86448,314.23,2.15,1.43,2024-07-06,2218,A,89,6.1NRT,289.85,41.98,N
29.99495,55.85931,317.36,2.15,1.43,2024-07-06,2218,A,95,6.1NRT,289.85,49.66,N
8.88349,77.97976,324.29,1.01,1.01,2024-07-07,0436,T,72,6.1NRT,303.04,6.77,D
7.46612,81.10217,317.79,1.22,1.1,2024-07-07,0436,T,54,6.1NRT,298.81,13.37,D
7.46452,81.11294,325.91,1.22,1.1,2024-07-07,0436,T,80,6.1NRT,298.45,24.41,D
7.18188,81.63402,313.88,1.33,1.14,2024-07-07,0436,T,62,6.1NRT,297.36,8.67,D
27.03603,56.46013,319.78,1.06,1.03,2024-07-07,0610,T,72,6.1NRT,308.38,10.29,D
27.03463,56.47052,318.26,1.06,1.03,2024-07-07,0610,T,69,6.1NRT,307.49,8.85,D
39.76179,67.28446,320.76,1.56,1.23,2024-07-07,0608,T,55,6.1NRT,306.1,12.28,D
39.76006,67.27724,321.07,1.56,1.23,2024-07-07,0608,T,39,6.1NRT,306.48,12.71,D
37.83146,61.42414,330.23,1,1,2024-07-07,0608,T,37,6.1NRT,315.65,8.92,D
37.65975,61.57873,330.74,1.01,1,2024-07-07,0608,T,45,6.1NRT,316.17,10.3,D
37.59423,61.52889,333.26,1.01,1,2024-07-07,0608,T,31,6.1NRT,318.34,9.72,D
29.59034,56.62188,328.74,1.09,1.04,2024-07-07,0610,T,42,6.1NRT,313.54,9.18,D
27.85166,60.17142,328.06,1.08,1.04,2024-07-07,0610,T,42,6.1NRT,315.44,5.88,D
